PassengerId,Passenger_group,Passenger_No,HomePlanet,CryoSleep,Cabin,Cabin_Deck,Cabin_Side,Cabin_DS,Destination,Age,Age_Catg,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Total_Expenses,Name,Transported
0001_01,0001,01,Europa,False,B/0/P,B,P,BP,TRAPPIST-1e,39.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,False
0002_01,0002,01,Earth,False,F/0/S,F,S,FS,TRAPPIST-1e,24.0,21-40,False,109.0,9.0,25.0,549.0,44.0,702.0,Juanna Vines,True
0003_01,0003,01,Europa,False,A/0/S,A,S,AS,TRAPPIST-1e,58.0,41-60,True,43.0,3576.0,0.0,6715.0,49.0,6807.0,Altark Susent,False
0003_02,0003,02,Europa,False,A/0/S,A,S,AS,TRAPPIST-1e,33.0,21-40,False,0.0,1283.0,371.0,3329.0,193.0,3522.0,Solam Susent,False
0004_01,0004,01,Earth,False,F/1/S,F,S,FS,TRAPPIST-1e,16.0,0-20,False,303.0,70.0,151.0,565.0,2.0,870.0,Willy Santantines,True
0005_01,0005,01,Earth,False,F/0/P,F,P,FP,PSO J318.5-22,44.0,41-60,False,0.0,483.0,0.0,291.0,0.0,291.0,Sandie Hinetthews,True
0006_01,0006,01,Earth,False,F/2/S,F,S,FS,TRAPPIST-1e,26.0,21-40,False,42.0,1539.0,3.0,0.0,0.0,42.0,Billex Jacostaffey,True
0006_02,0006,02,Earth,True,G/0/S,G,S,GS,TRAPPIST-1e,28.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,True
0007_01,0007,01,Earth,False,F/3/S,F,S,FS,TRAPPIST-1e,35.0,21-40,False,0.0,785.0,17.0,216.0,0.0,216.0,Andona Beston,True
0008_01,0008,01,Europa,True,B/1/P,B,P,BP,55 Cancri e,14.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,True
0008_02,0008,02,Europa,True,B/1/P,B,P,BP,TRAPPIST-1e,34.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,True
0008_03,0008,03,Europa,False,B/1/P,B,P,BP,55 Cancri e,45.0,41-60,False,39.0,7295.0,589.0,110.0,124.0,273.0,Wezena Flatic,True
0009_01,0009,01,Mars,False,F/1/P,F,P,FP,TRAPPIST-1e,32.0,21-40,False,73.0,0.0,1123.0,0.0,113.0,186.0,Berers Barne,True
0010_01,0010,01,Earth,False,G/1/S,G,S,GS,TRAPPIST-1e,48.0,41-60,False,719.0,1.0,65.0,0.0,24.0,743.0,Reney Baketton,False
0011_01,0011,01,Earth,False,F/2/P,F,P,FP,TRAPPIST-1e,28.0,21-40,False,8.0,974.0,12.0,2.0,7.0,17.0,Elle Bertsontry,True
0012_01,0012,01,Earth,False,G/160/P,G,P,GP,TRAPPIST-1e,31.0,21-40,False,32.0,0.0,876.0,0.0,0.0,32.0,Justie Pooles,False
0014_01,0014,01,Mars,False,F/3/P,F,P,FP,55 Cancri e,27.0,21-40,False,1286.0,122.0,0.0,0.0,0.0,1286.0,Flats Eccle,False
0015_01,0015,01,Earth,False,F/4/P,F,P,FP,55 Cancri e,24.0,21-40,False,0.0,1.0,0.0,0.0,637.0,637.0,Carry Hughriend,False
0016_01,0016,01,Mars,True,F/5/P,F,P,FP,TRAPPIST-1e,45.0,41-60,False,0.0,0.0,0.0,0.0,0.0,0.0,Alus Upead,True
0017_01,0017,01,Earth,False,G/0/P,G,P,GP,TRAPPIST-1e,0.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,True
0017_02,0017,02,Earth,False,F/6/P,F,P,FP,55 Cancri e,14.0,0-20,False,412.0,0.0,1.0,0.0,679.0,1091.0,Philda Brighttt,False
0020_01,0020,01,Earth,True,E/0/S,E,S,ES,TRAPPIST-1e,1.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,False
0020_02,0020,02,Earth,True,E/0/S,E,S,ES,55 Cancri e,49.0,41-60,False,0.0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,False
0020_03,0020,03,Earth,True,E/0/S,E,S,ES,55 Cancri e,29.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Mollen Mcfaddennon,False
0020_04,0020,04,Earth,False,E/0/S,E,S,ES,TRAPPIST-1e,10.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,True
0020_05,0020,05,Earth,True,E/0/S,E,S,ES,PSO J318.5-22,1.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Mael Brantuarez,False
0020_06,0020,06,Earth,False,E/0/S,E,S,ES,TRAPPIST-1e,7.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,False
0022_01,0022,01,Mars,False,D/0/P,D,P,DP,TRAPPIST-1e,21.0,21-40,False,980.0,2.0,69.0,0.0,0.0,980.0,,False
0024_01,0024,01,Europa,True,C/2/S,C,S,CS,TRAPPIST-1e,62.0,60+,False,0.0,0.0,0.0,0.0,0.0,0.0,Penton Fullided,True
0025_01,0025,01,Earth,False,F/6/S,F,S,FS,TRAPPIST-1e,15.0,0-20,False,0.0,225.0,0.0,998.0,0.0,998.0,Karard Brookenson,False
0026_01,0026,01,Europa,False,C/0/P,C,P,CP,55 Cancri e,34.0,21-40,False,22.0,6073.0,0.0,1438.0,328.0,1788.0,Anyoni Unconary,False
0028_01,0028,01,Mars,False,F/8/P,F,P,FP,TRAPPIST-1e,43.0,41-60,False,1125.0,0.0,136.0,48.0,0.0,1173.0,Ceros Mare,False
0030_01,0030,01,Earth,False,G/4/S,G,S,GS,TRAPPIST-1e,32.0,21-40,False,0.0,850.0,81.0,437.0,453.0,890.0,Ginia Morsentley,False
0031_01,0031,01,Mars,False,F/9/P,F,P,FP,TRAPPIST-1e,47.0,41-60,False,214.0,0.0,1411.0,0.0,1229.0,1443.0,Coobix Datie,True
0031_02,0031,02,Mars,False,F/9/P,F,P,FP,TRAPPIST-1e,2.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,True
0031_03,0031,03,Mars,False,F/9/P,F,P,FP,TRAPPIST-1e,20.0,0-20,False,0.0,0.0,1750.0,990.0,0.0,990.0,Dontch Datie,True
0034_01,0034,01,Europa,True,D/1/S,D,S,DS,55 Cancri e,28.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,True
0035_01,0035,01,Mars,False,D/1/P,D,P,DP,55 Cancri e,23.0,21-40,False,784.0,964.0,0.0,951.0,0.0,1735.0,Luse Butte,False
0036_01,0036,01,Earth,False,F/8/S,F,S,FS,55 Cancri e,15.0,0-20,False,0.0,492.0,48.0,20.0,401.0,421.0,Marina Leodger,False
0038_01,0038,01,Earth,False,F/10/S,F,S,FS,55 Cancri e,20.0,0-20,False,554.0,195.0,0.0,2606.0,0.0,3160.0,Loise Wheelez,False
0039_01,0039,01,Earth,True,G/1/P,G,P,GP,55 Cancri e,30.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Jorgie Batthewitt,False
0041_01,0041,01,Earth,True,G/2/P,G,P,GP,TRAPPIST-1e,17.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,True
0043_01,0043,01,Europa,False,B/3/P,B,P,BP,TRAPPIST-1e,45.0,41-60,False,0.0,164.0,45.0,2511.0,855.0,3366.0,Ankalik Cylistrand,False
0044_01,0044,01,Earth,True,G/3/P,G,P,GP,TRAPPIST-1e,55.0,41-60,False,0.0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,False
0044_02,0044,02,Earth,True,G/3/P,G,P,GP,55 Cancri e,4.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,True
0044_03,0044,03,Earth,True,G/3/P,G,P,GP,PSO J318.5-22,21.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,True
0045_01,0045,01,Mars,False,F/10/P,F,P,FP,TRAPPIST-1e,21.0,21-40,False,970.0,0.0,180.0,0.0,64.0,1034.0,Zelowl Chmad,False
0045_02,0045,02,Mars,True,F/10/P,F,P,FP,TRAPPIST-1e,19.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,True
0050_01,0050,01,Earth,False,E/1/S,E,S,ES,55 Cancri e,35.0,21-40,False,790.0,0.0,0.0,0.0,0.0,790.0,Sony Lancis,False
0051_01,0051,01,Earth,False,E/2/S,E,S,ES,TRAPPIST-1e,56.0,41-60,False,0.0,112.0,0.0,1379.0,127.0,1506.0,Vivia Johnshines,False
0052_01,0052,01,Earth,False,G/6/S,G,S,GS,TRAPPIST-1e,27.0,21-40,False,4.0,0.0,2.0,4683.0,0.0,4687.0,Elaney Hubbarton,False
0053_01,0053,01,Earth,False,F/11/S,F,S,FS,TRAPPIST-1e,25.0,21-40,False,0.0,0.0,1938.0,0.0,1.0,1.0,Elson Hickerson,True
0056_01,0056,01,Europa,False,A/1/S,A,S,AS,TRAPPIST-1e,2.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,True
0056_02,0056,02,Europa,True,A/1/S,A,S,AS,TRAPPIST-1e,38.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,True
0056_03,0056,03,Europa,False,A/1/S,A,S,AS,TRAPPIST-1e,27.0,21-40,False,279.0,605.0,3374.0,286.0,3.0,568.0,Zinoces Tractive,True
0058_01,0058,01,Earth,True,G/7/S,G,S,GS,PSO J318.5-22,36.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,False
0061_01,0061,01,Earth,False,F/12/S,F,S,FS,TRAPPIST-1e,22.0,21-40,False,45.0,1096.0,148.0,1377.0,1.0,1423.0,Shanya Salez,False
0062_01,0062,01,Earth,False,F/13/S,F,S,FS,TRAPPIST-1e,62.0,60+,False,0.0,592.0,0.0,17.0,25.0,42.0,Sterry Greeves,False
0064_01,0064,01,Mars,True,F/14/S,F,S,FS,TRAPPIST-1e,15.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,,True
0064_02,0064,02,Earth,True,E/3/S,E,S,ES,TRAPPIST-1e,33.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Colatz Keen,True
0066_01,0066,01,Earth,False,G/6/P,G,P,GP,TRAPPIST-1e,62.0,60+,False,1.0,153.0,197.0,0.0,460.0,461.0,Diandy Pecketton,False
0067_01,0067,01,Earth,True,G/10/S,G,S,GS,PSO J318.5-22,0.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,True
0067_02,0067,02,Earth,False,G/10/S,G,S,GS,TRAPPIST-1e,18.0,0-20,False,1.0,258.0,446.0,0.0,0.0,1.0,Celine Leeves,True
0067_03,0067,03,Earth,False,F/15/S,F,S,FS,55 Cancri e,21.0,21-40,False,1946.0,37.0,0.0,0.0,24.0,1970.0,Velyne Leeves,False
0068_01,0068,01,Mars,False,E/4/S,E,S,ES,TRAPPIST-1e,27.0,21-40,False,793.0,0.0,2.0,253.0,0.0,1046.0,Cinst Binie,False
0069_01,0069,01,Earth,False,F/16/S,F,S,FS,TRAPPIST-1e,42.0,41-60,False,887.0,0.0,9.0,6.0,0.0,893.0,,True
0070_01,0070,01,Earth,False,F/13/P,F,P,FP,TRAPPIST-1e,19.0,0-20,False,190.0,0.0,5.0,1.0,726.0,917.0,Meremy Brighttt,False
0071_01,0071,01,Earth,False,F/14/P,F,P,FP,TRAPPIST-1e,17.0,0-20,False,16.0,2165.0,0.0,0.0,52.0,68.0,Nelly Dillines,False
0072_01,0072,01,Earth,False,F/17/S,F,S,FS,TRAPPIST-1e,14.0,0-20,False,0.0,1.0,0.0,0.0,1063.0,1063.0,Thell Brantuarez,False
0073_01,0073,01,Mars,False,D/3/P,D,P,DP,PSO J318.5-22,37.0,21-40,False,46.0,83.0,738.0,0.0,12.0,58.0,Gorn Make,False
0074_01,0074,01,Europa,False,C/3/S,C,S,CS,TRAPPIST-1e,42.0,41-60,False,1.0,8397.0,0.0,0.0,506.0,507.0,Aldibah Mostedry,True
0076_01,0076,01,Mars,False,F/18/S,F,S,FS,TRAPPIST-1e,27.0,21-40,False,147.0,0.0,1018.0,0.0,0.0,147.0,Conk Dal,True
0077_01,0077,01,Mars,False,F/15/P,F,P,FP,TRAPPIST-1e,28.0,21-40,False,14.0,0.0,1295.0,0.0,0.0,14.0,Pon Blité,True
0078_01,0078,01,Europa,False,C/4/S,C,S,CS,TRAPPIST-1e,38.0,21-40,False,0.0,5840.0,0.0,321.0,9654.0,9975.0,Spuri Pokerheed,False
0081_01,0081,01,Earth,True,G/13/S,G,S,GS,TRAPPIST-1e,13.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,False
0082_01,0082,01,Mars,False,F/16/P,F,P,FP,TRAPPIST-1e,42.0,41-60,False,7406.0,0.0,0.0,0.0,0.0,7406.0,Totse Datte,False
0082_02,0082,02,Mars,True,F/16/P,F,P,FP,TRAPPIST-1e,2.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,True
0082_03,0082,03,Mars,False,F/16/P,F,P,FP,TRAPPIST-1e,8.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,,True
0084_01,0084,01,Earth,False,G/14/S,G,S,GS,TRAPPIST-1e,24.0,21-40,False,688.0,0.0,0.0,0.0,17.0,705.0,Coren Coopezmaney,True
0085_01,0085,01,Europa,True,C/5/S,C,S,CS,TRAPPIST-1e,40.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,True
0086_01,0086,01,Earth,False,F/17/P,F,P,FP,TRAPPIST-1e,43.0,41-60,False,211.0,0.0,0.0,638.0,513.0,1362.0,Jodye Kinson,False
0088_01,0088,01,Mars,True,E/5/S,E,S,ES,PSO J318.5-22,45.0,41-60,False,0.0,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,True
0090_01,0090,01,Earth,True,G/15/S,G,S,GS,TRAPPIST-1e,35.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Heremy Santry,True
0091_01,0091,01,Earth,True,G/16/S,G,S,GS,TRAPPIST-1e,26.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Deanne Yorkland,True
0091_02,0091,02,Earth,False,F/20/S,F,S,FS,TRAPPIST-1e,27.0,21-40,False,1.0,697.0,31.0,188.0,0.0,189.0,Tinez Yorkland,False
0092_01,0092,01,Earth,False,G/9/P,G,P,GP,TRAPPIST-1e,19.0,0-20,False,0.0,0.0,670.0,1.0,34.0,35.0,Gracy Dunnisey,False
0092_02,0092,02,Earth,True,G/9/P,G,P,GP,TRAPPIST-1e,0.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Stald Hewson,True
0092_03,0092,03,Earth,True,G/9/P,G,P,GP,TRAPPIST-1e,3.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,True
0097_01,0097,01,Europa,False,A/2/S,A,S,AS,TRAPPIST-1e,54.0,41-60,False,0.0,1208.0,0.0,3.0,637.0,640.0,Alchium Fictful,False
0098_01,0098,01,Earth,False,G/11/P,G,P,GP,TRAPPIST-1e,26.0,21-40,False,0.0,856.0,5.0,32.0,0.0,32.0,Doria Carezquez,False
0098_02,0098,02,Earth,False,G/11/P,G,P,GP,TRAPPIST-1e,26.0,21-40,False,0.0,2811.0,957.0,0.0,87.0,87.0,Leence Carezquez,True
0099_01,0099,01,Earth,False,F/19/P,F,P,FP,PSO J318.5-22,23.0,21-40,False,311.0,427.0,526.0,37.0,0.0,348.0,Aliey Leetersoney,False
0099_02,0099,02,Earth,False,G/12/P,G,P,GP,TRAPPIST-1e,2.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,True
0101_01,0101,01,Mars,True,G/160/P,G,P,GP,TRAPPIST-1e,31.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Book Trad,True
0102_01,0102,01,Earth,False,F/23/S,F,S,FS,TRAPPIST-1e,18.0,0-20,False,0.0,0.0,0.0,830.0,91.0,921.0,Ritany Holson,False
0103_01,0103,01,Earth,False,F/24/S,F,S,FS,TRAPPIST-1e,24.0,21-40,False,0.0,0.0,0.0,0.0,17.0,17.0,Arlen Mclainez,True
0103_02,0103,02,Earth,True,G/18/S,G,S,GS,55 Cancri e,9.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,True
0103_03,0103,03,Earth,True,G/18/S,G,S,GS,TRAPPIST-1e,6.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,False
0105_01,0105,01,Earth,False,F/21/P,F,P,FP,TRAPPIST-1e,27.0,21-40,False,0.0,0.0,570.0,2.0,131.0,133.0,Carry Cleachrand,False
0107_01,0107,01,Mars,False,D/2/S,D,S,DS,TRAPPIST-1e,21.0,21-40,False,1743.0,5.0,17.0,0.0,0.0,1743.0,Coobix Hart,False
0108_01,0108,01,Earth,True,G/19/S,G,S,GS,TRAPPIST-1e,23.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,False
0108_02,0108,02,Earth,False,G/19/S,G,S,GS,TRAPPIST-1e,31.0,21-40,False,562.0,0.0,326.0,0.0,0.0,562.0,,False
0108_03,0108,03,Earth,False,G/19/S,G,S,GS,TRAPPIST-1e,0.0,0-20,False,0.0,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,True
0110_01,0110,01,Europa,False,G/160/P,G,P,GP,TRAPPIST-1e,32.0,21-40,False,0.0,410.0,6.0,3929.0,764.0,4693.0,Graviph Aloubtled,False
0110_02,0110,02,Europa,False,B/5/P,B,P,BP,TRAPPIST-1e,40.0,21-40,False,0.0,331.0,0.0,0.0,1687.0,1687.0,Aldeba Bootious,False
0110_03,0110,03,Europa,False,B/5/P,B,P,BP,TRAPPIST-1e,42.0,41-60,False,2209.0,11418.0,0.0,1868.0,445.0,4522.0,Alaratz Aloubtled,True
0110_04,0110,04,Europa,True,B/5/P,B,P,BP,TRAPPIST-1e,28.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,True
0111_01,0111,01,Europa,True,E/6/S,E,S,ES,TRAPPIST-1e,29.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Aldera Supred,True
0112_01,0112,01,Europa,False,B/1/S,B,S,BS,55 Cancri e,48.0,41-60,True,0.0,2537.0,87.0,17.0,13.0,30.0,Moth Cowtale,True
0113_01,0113,01,Earth,False,F/23/P,F,P,FP,TRAPPIST-1e,64.0,60+,False,0.0,0.0,804.0,0.0,0.0,0.0,Idary Carvis,True
0114_01,0114,01,Earth,False,G/20/S,G,S,GS,TRAPPIST-1e,27.0,21-40,False,82.0,157.0,429.0,238.0,1.0,321.0,Maura Beckerson,False
0115_01,0115,01,Mars,False,F/24/P,F,P,FP,TRAPPIST-1e,26.0,21-40,False,0.0,0.0,0.0,0.0,0.0,0.0,Rohs Pead,True
0116_01,0116,01,Europa,False,D/4/P,D,P,DP,TRAPPIST-1e,33.0,21-40,False,1.0,2223.0,0.0,12.0,404.0,417.0,Alhenah Suptive,True
0119_01,0119,01,Earth,False,A/0/P,A,P,AP,TRAPPIST-1e,39.0,21-40,False,0.0,2344.0,0.0,65.0,6898.0,6963.0,Batan Coning,False
